,directory_name,directory_path,file_name,original_size,small_path,medium_path,big_path,small_size,medium_size,big_size,small_dpi,medium_dpi,big_dpi
38,vivaaerobus,tickets/vivaaerobus,vivaaerobusTicket.jpeg,medium,tickets/vivaaerobus/im_small/vivaaerobusTicket.jpeg,tickets/vivaaerobus/im_medium/vivaaerobusTicket.jpeg,tickets/vivaaerobus/im_big/vivaaerobusTicket.jpeg,"(235, 409)","(564, 849)","(635, 809)","(72, 72)","(72, 72)","(72, 72)"
39,volarisair,tickets/volarisair,volarisTicket.jpeg,medium,tickets/volarisair/im_small/volarisTicket.jpeg,tickets/volarisair/im_medium/volarisTicket.jpeg,tickets/volarisair/im_big/volarisTicket.jpeg,"(364, 649)","(564, 1058)","(764, 1049)","(72, 72)","(72, 72)","(72, 72)"
40,emiratesair,tickets/emiratesair,emiratesTicket.png,medium,tickets/emiratesair/im_small/emiratesTicket.png,tickets/emiratesair/im_medium/emiratesTicket.png,tickets/emiratesair/im_big/emiratesTicket.png,"(364, 858)","(1238, 1582)","(764, 1258)","(144, 144)","(144, 144)","(144, 144)"
41,spiritairlines,tickets/spiritairlines,spiritairTicket.jpeg,medium,tickets/spiritairlines/im_small/spiritairTicket.jpeg,tickets/spiritairlines/im_medium/spiritairTicket.jpeg,tickets/spiritairlines/im_big/spiritairTicket.jpeg,"(1038, 1382)","(564, 1003)","(1438, 1782)","(72, 72)","(72, 72)","(72, 72)"
42,iberiaair,tickets/iberiaair,iberiaairTicket.jpeg,medium,tickets/iberiaair/im_small/iberiaairTicket.jpeg,tickets/iberiaair/im_medium/iberiaairTicket.jpeg,tickets/iberiaair/im_big/iberiaairTicket.jpeg,"(364, 803)","(787, 1111)","(764, 1203)","(96, 96)","(96, 96)","(96, 96)"
43,sasairlines,tickets/sasairlines,sasairTicket.jpeg,medium,tickets/sasairlines/im_small/sasairTicket.jpeg,tickets/sasairlines/im_medium/sasairTicket.jpeg,tickets/sasairlines/im_big/sasairTicket.jpeg,"(587, 911)","(787, 1111)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
44,sasairlines,tickets/sasairlines,sasairTicket2.jpeg,medium,tickets/sasairlines/im_small/sasairTicket2.jpeg,tickets/sasairlines/im_medium/sasairTicket2.jpeg,tickets/sasairlines/im_big/sasairTicket2.jpeg,"(587, 911)","(789, 1113)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
45,qatarairways,tickets/qatarairways,qatarairTicket.jpeg,medium,tickets/qatarairways/im_small/qatarairTicket.jpeg,tickets/qatarairways/im_medium/qatarairTicket.jpeg,tickets/qatarairways/im_big/qatarairTicket.jpeg,"(589, 913)","(575, 1024)","(989, 1313)","(0, 0)","(0, 0)","(0, 0)"
46,wizzair,tickets/wizzair,wizzairTicket6.jpeg,medium,tickets/wizzair/im_small/wizzairTicket6.jpeg,tickets/wizzair/im_medium/wizzairTicket6.jpeg,tickets/wizzair/im_big/wizzairTicket6.jpeg,"(375, 824)","(386, 500)","(775, 1224)","(150, 150)","(150, 150)","(150, 150)"
47,wizzair,tickets/wizzair,wizzairTicket4.jpeg,medium,tickets/wizzair/im_small/wizzairTicket4.jpeg,tickets/wizzair/im_medium/wizzairTicket4.jpeg,tickets/wizzair/im_big/wizzairTicket4.jpeg,"(186, 300)","(2106, 1782)","(586, 700)","(300, 300)","(300, 300)","(300, 300)"
48,wizzair,tickets/wizzair,wizzairTicket5.jpeg,medium,tickets/wizzair/im_small/wizzairTicket5.jpeg,tickets/wizzair/im_medium/wizzairTicket5.jpeg,tickets/wizzair/im_big/wizzairTicket5.jpeg,"(1906, 1582)","(1058, 1497)","(2306, 1982)","(0, 0)","(0, 0)","(0, 0)"
49,wizzair,tickets/wizzair,wizzairTicket2.jpeg,medium,tickets/wizzair/im_small/wizzairTicket2.jpeg,tickets/wizzair/im_medium/wizzairTicket2.jpeg,tickets/wizzair/im_big/wizzairTicket2.jpeg,"(858, 1297)","(787, 1111)","(1258, 1697)","(96, 96)","(96, 96)","(96, 96)"
50,wizzair,tickets/wizzair,wizzairTicket.jpeg,medium,tickets/wizzair/im_small/wizzairTicket.jpeg,tickets/wizzair/im_medium/wizzairTicket.jpeg,tickets/wizzair/im_big/wizzairTicket.jpeg,"(587, 911)","(563, 850)","(987, 1311)","(72, 72)","(72, 72)","(72, 72)"
51,wizzair,tickets/wizzair,wizzairTicket3.jpeg,medium,tickets/wizzair/im_small/wizzairTicket3.jpeg,tickets/wizzair/im_medium/wizzairTicket3.jpeg,tickets/wizzair/im_big/wizzairTicket3.jpeg,"(363, 650)","(787, 1111)","(763, 1050)","(96, 96)","(96, 96)","(96, 96)"
52,airBaltic,tickets/airBaltic,airbalticTicket.jpeg,medium,tickets/airBaltic/im_small/airbalticTicket.jpeg,tickets/airBaltic/im_medium/airbalticTicket.jpeg,tickets/airBaltic/im_big/airbalticTicket.jpeg,"(587, 911)","(793, 1113)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
53,southwestair,tickets/southwestair,southwestairTicket.jpeg,medium,tickets/southwestair/im_small/southwestairTicket.jpeg,tickets/southwestair/im_medium/southwestairTicket.jpeg,tickets/southwestair/im_big/southwestairTicket.jpeg,"(593, 913)","(564, 878)","(993, 1313)","(72, 72)","(72, 72)","(72, 72)"
54,cathaypacficair,tickets/cathaypacficair,cathaypacificair.jpeg,medium,tickets/cathaypacficair/im_small/cathaypacificair.jpeg,tickets/cathaypacficair/im_medium/cathaypacificair.jpeg,tickets/cathaypacficair/im_big/cathaypacificair.jpeg,"(364, 678)","(360, 640)","(764, 1078)","(0, 0)","(0, 0)","(0, 0)"
55,lufthansaair,tickets/lufthansaair,lufthansaairTicket3.jpeg,medium,tickets/lufthansaair/im_small/lufthansaairTicket3.jpeg,tickets/lufthansaair/im_medium/lufthansaairTicket3.jpeg,tickets/lufthansaair/im_big/lufthansaairTicket3.jpeg,"(160, 440)","(787, 1111)","(560, 840)","(96, 96)","(96, 96)","(96, 96)"
56,lufthansaair,tickets/lufthansaair,lufthansaairTicket2.jpeg,medium,tickets/lufthansaair/im_small/lufthansaairTicket2.jpeg,tickets/lufthansaair/im_medium/lufthansaairTicket2.jpeg,tickets/lufthansaair/im_big/lufthansaairTicket2.jpeg,"(587, 911)","(253, 450)","(987, 1311)","(72, 72)","(72, 72)","(72, 72)"
57,lufthansaair,tickets/lufthansaair,lufthansaappTicket.jpeg,medium,tickets/lufthansaair/im_small/lufthansaappTicket.jpeg,tickets/lufthansaair/im_medium/lufthansaappTicket.jpeg,tickets/lufthansaair/im_big/lufthansaappTicket.jpeg,"(53, 250)","(256, 512)","(453, 650)","(0, 0)","(0, 0)","(0, 0)"
58,lufthansaair,tickets/lufthansaair,lufthansaTicket.jpeg,medium,tickets/lufthansaair/im_small/lufthansaTicket.jpeg,tickets/lufthansaair/im_medium/lufthansaTicket.jpeg,tickets/lufthansaair/im_big/lufthansaTicket.jpeg,"(56, 312)","(785, 788)","(456, 712)","(0, 0)","(0, 0)","(0, 0)"
