,file_analyzed,size_category,original_file_name,dir_name,exec_time,result,trip _start,trip_end,routes
23,tickets/airfrance/im_big/airfranceTicket.jpeg,big,airfranceTicket.jpeg,tickets/airfrance,8.601217031478882,400,,,[]
24,tickets/easyjetair/im_small/easyjetTicket.png,small,easyjetTicket.png,tickets/easyjetair,8.495850086212158,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
25,tickets/easyjetair/im_medium/easyjetTicket.png,medium,easyjetTicket.png,tickets/easyjetair,7.476072311401367,200,(LIS) Lisbona (T2) ,(MXP) Milano Malpensa (T1) ,[]
26,tickets/easyjetair/im_big/easyjetTicket.png,big,easyjetTicket.png,tickets/easyjetair,8.84669280052185,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
27,tickets/easyjetair/im_small/easyjetTicket.jpg,small,easyjetTicket.jpg,tickets/easyjetair,9.178222179412842,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
28,tickets/easyjetair/im_medium/easyjetTicket.jpg,medium,easyjetTicket.jpg,tickets/easyjetair,8.083895921707153,200,(LIS) Lisbona (T2) ,(MXP) Milano Malpensa (T1) ,[]
29,tickets/easyjetair/im_big/easyjetTicket.jpg,big,easyjetTicket.jpg,tickets/easyjetair,8.090833187103271,200,(MXP) Milano Malpensa (T1) ,11:15 ,[]
30,tickets/easyjetair/im_small/hello.png,small,hello.png,tickets/easyjetair,9.07002305984497,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
31,tickets/easyjetair/im_medium/hello.png,medium,hello.png,tickets/easyjetair,7.537559986114502,200,(LIS) Lisbona (T2) ,(MXP) Milano Malpensa (T1) ,[]
32,tickets/easyjetair/im_big/hello.png,big,hello.png,tickets/easyjetair,7.558004140853882,200,(MXP) Milano Malpensa (T1) ,EJU2717 ,[]
33,tickets/easyjetair/im_small/helloSmall.jpeg,small,helloSmall.jpeg,tickets/easyjetair,7.5624473094940186,200,EJU2717 ,(LIS) Lisbona (T2) ,[]
34,tickets/easyjetair/im_medium/helloSmall.jpeg,medium,helloSmall.jpeg,tickets/easyjetair,8.276190042495728,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
35,tickets/easyjetair/im_big/helloSmall.jpeg,big,helloSmall.jpeg,tickets/easyjetair,10.120891094207764,200,Malpensa International Airport,Humberto Delgado Airport (Lisbon Portela Airport),[]
36,tickets/royaldutchair/im_small/klmairTicket.jpeg,small,klmairTicket.jpeg,tickets/royaldutchair,6.8015830516815186,400,,,[]
37,tickets/royaldutchair/im_medium/klmairTicket.jpeg,medium,klmairTicket.jpeg,tickets/royaldutchair,14.33713412284851,200,-1,-1,"[[3683.3530381455066, ['Senador Petr̫nio Portela Airport', 'Vance Air Force Base']], [2884.929146007446, ['Senador Petr̫nio Portela Airport', 'Anderson Regional Airport']], [0.0, ['Senador Petr̫nio Portela Airport', 'Senador Petr̫nio Portela Airport']], [2544.4103015885285, ['Senador Petr̫nio Portela Airport', 'Clarence A. Bain Airport']], [4678.729781978822, ['Senador Petr̫nio Portela Airport', ""Villanova D'Albenga International Airport""]], [303.9960842965677, ['Senador Petr̫nio Portela Airport', 'Pinto Martins International Airport']], [10634.578169522676, ['Senador Petr̫nio Portela Airport', 'Geraldton Airport']], [1050.5734830135598, ['Vance Air Force Base', 'Anderson Regional Airport']], [3683.3530381455066, ['Vance Air Force Base', 'Senador Petr̫nio Portela Airport']], [1390.4597478278047, ['Vance Air Force Base', 'Clarence A. Bain Airport']], [7321.856795276054, ['Vance Air Force Base', ""Villanova D'Albenga International Airport""]], [3985.3915040784887, ['Vance Air Force Base', 'Pinto Martins International Airport']], [10441.067777340508, ['Vance Air Force Base', 'Geraldton Airport']], [2884.929146007446, ['Anderson Regional Airport', 'Senador Petr̫nio Portela Airport']], [366.0308435880946, ['Anderson Regional Airport', 'Clarence A. Bain Airport']], [5.899012088775635e-05, ['Anderson Regional Airport', 'Anderson Regional Airport']], [6283.1266913096815, ['Anderson Regional Airport', ""Villanova D'Albenga International Airport""]], [3171.6834127037946, ['Anderson Regional Airport', 'Pinto Martins International Airport']], [10893.353067142463, ['Anderson Regional Airport', 'Geraldton Airport']], [2544.4103015885285, ['Clarence A. Bain Airport', 'Senador Petr̫nio Portela Airport']], [366.0308435880946, ['Clarence A. Bain Airport', 'Anderson Regional Airport']], [5978.389497240736, ['Clarence A. Bain Airport', ""Villanova D'Albenga International Airport""]], [2825.904413801137, ['Clarence A. Bain Airport', 'Pinto Martins International Airport']], [11071.33404977965, ['Clarence A. Bain Airport', 'Geraldton Airport']], [4450.701592634707, [""Villanova D'Albenga International Airport"", 'Pinto Martins International Airport']], [6283.1266913096815, [""Villanova D'Albenga International Airport"", 'Anderson Regional Airport']], [6193.079566034996, [""Villanova D'Albenga International Airport"", 'Geraldton Airport']], [4678.729781978822, [""Villanova D'Albenga International Airport"", 'Senador Petr̫nio Portela Airport']], [3171.6834127037946, ['Pinto Martins International Airport', 'Anderson Regional Airport']], [0.0, ['Pinto Martins International Airport', 'Pinto Martins International Airport']], [10334.039469150177, ['Pinto Martins International Airport', 'Geraldton Airport']], [303.9960842965677, ['Pinto Martins International Airport', 'Senador Petr̫nio Portela Airport']], [10634.578169522676, ['Geraldton Airport', 'Senador Petr̫nio Portela Airport']], [10334.039469150177, ['Geraldton Airport', 'Pinto Martins International Airport']], [10893.353067142463, ['Geraldton Airport', 'Anderson Regional Airport']]]"
38,tickets/royaldutchair/im_big/klmairTicket.jpeg,big,klmairTicket.jpeg,tickets/royaldutchair,9.211666345596313,400,,,[]
